Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C6,C_0805_2012Metric,C110254,1
100nF,C3,C_0805_2012Metric,C49678,1
1uF,C4,C_0805_2012Metric,C28323,1
220uF,C2,CP_Elec_8x10.5,C2036,1
330uF,C1,CP_Elec_8x10.5,C2051,1
33uH,L1,L_12x12mm_H8mm,C9891,1
AO3400A,"Q3,Q4",SOT-23,C20917,2
ESP32-WROOM-32E,U1,ESP32-WROOM-32D,C701341,1
LED,D5,LED_0805_2012Metric,C2293,1
LED,D8,LED_0805_2012Metric,C2295,1
LED,D7,LED_0805_2012Metric,C2296,1
LED,D6,LED_0805_2012Metric,C2297,1
LED,D4,LED_0805_2012Metric,C965821,1
LM2596S-5,U2,TO-263-5_TabPin3,C194349,1
ME6211C33M5,U3,SOT-23-5,C82942,1
SS14,"D2,D3",D_SMA,C2480,2
SW_Push,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884,2
PC817,U4,DIP-4_W7.62mm,,1
680,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Screw_Terminal_01x03,J10,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",,1
Screw_Terminal_01x02,J6,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",,1
Screw_Terminal_01x02,J5,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",,1
Screw_Terminal_01x02,J3,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",,1
100nF,C10,C_0805_2012Metric,,1
330,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1uF,C7,C_0805_2012Metric,,1
RotaryEncoder_Switch,SW3,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,,1
1uF,C5,C_0805_2012Metric,,1
100,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x03_Pin,J7,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
100,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
PMEG040V050EPD,D1,Nexperia_CFP15_SOT-1289,,1
470,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x04,J1,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04_Pin,J8,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
330,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100nF,C9,C_0805_2012Metric,,1
10k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
1k,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Barrel_Jack,J9,BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal,,1
10k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x07_Pin,J2,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,,1
10k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
330,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1uF,C8,C_0805_2012Metric,,1
100nF,C11,C_0805_2012Metric,,1
10k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
