Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,330uF,CP_Elec_8x10.5,113.075,-96.525,270.0,top
C10,100nF,C_0805_2012Metric,88.71,-123.69,180.0,top
C11,100nF,C_0805_2012Metric,89.01,-112.94,180.0,top
C2,220uF,CP_Elec_8x10.5,144.575,-101.025,0.0,top
C3,100nF,C_0805_2012Metric,119.575,-101.225,-90.0,top
C4,1uF,C_0805_2012Metric,102.5,-76.45,90.0,top
C5,1uF,C_0805_2012Metric,107.25,-69.75,180.0,top
C6,0.1uF,C_0805_2012Metric,102.8,-64.75,0.0,top
C7,0.1uF,C_0805_2012Metric,146.07,-76.12,0.0,top
C8,0.1uF,C_0805_2012Metric,101.5,-70.75,0.0,top
C9,100nF,C_0805_2012Metric,112.96,-116.94,90.0,top
D1,PMEG040V050EPD,Nexperia_CFP15_SOT-1289,131.175,-80.575,180.0,top
D2,SS14,D_SMA,92.06,-50.78,0.0,top
D3,SS14,D_SMA,93.41,-70.41,0.0,top
D4,LED,LED_0805_2012Metric,130.75,-100.5625,90.0,top
D5,LED,LED_0805_2012Metric,118.3125,-110.72,0.0,top
D6,LED,LED_0805_2012Metric,137.8125,-58.75,0.0,top
D7,LED,LED_0805_2012Metric,138.0,-75.5,0.0,top
D8,LED,LED_0805_2012Metric,98.5,-62.75,90.0,top
J1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,158.52,-39.0,90.0,top
J10,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",164.5775,-95.21,90.0,top
J2,Conn_01x07_Pin,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,167.775,-56.75,-90.0,top
J3,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",81.655,-100.615,-90.0,top
J5,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",81.33,-53.32,-90.0,top
J6,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",81.69,-73.21,-90.0,top
J7,Conn_01x03_Pin,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,160.805,-75.25,90.0,top
J8,Conn_01x04_Pin,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,160.055,-116.25,90.0,top
J9,Barrel_Jack,BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal,127.5,-107.13,90.0,top
L1,33uH,L_12x12mm_H8mm,144.825,-87.025,0.0,top
Q3,AO3400A,SOT-23,93.81,-55.78,270.0,top
Q4,AO3400A,SOT-23,91.16,-75.47,270.0,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.0,-59.0,-90.0,top
R10,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.055,-109.5,0.0,top
R11,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.25,-100.75,90.0,top
R12,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.25,-106.22,-90.0,top
R13,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.0,-61.75,0.0,top
R14,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,137.75,-70.75,0.0,top
R15,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.75,-60.5,0.0,top
R16,680,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.045,-105.845,90.0,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,88.96,-116.69,0.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,88.885,-120.29,0.0,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,107.21,-126.19,0.0,top
R5,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.555,-87.25,0.0,top
R6,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.81,-54.78,0.0,top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,90.81,-59.53,0.0,top
R8,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.0,-75.36,-90.0,top
R9,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.91,-79.91,0.0,top
SW1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,146.415,-70.46,90.0,top
SW2,SW_Push,SW_Push_1P1T_XKB_TS-1187A,111.75,-82.25,0.0,top
SW3,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,102.21,-116.79,0.0,top
U1,ESP32-WROOM-32E,ESP32-WROOM-32D,123.25,-65.78,270.0,top
U2,LM2596S-5,TO-263-5_TabPin3,128.95,-91.025,0.0,top
U3,ME6211C33M5,SOT-23-5,107.25,-74.0,270.0,top
U4,PC817,DIP-4_W7.62mm,91.515,-100.405,180.0,top
