"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"C1";"CP_Elec_8x10.5";1;"330uF";;;
2;"C2";"CP_Elec_8x10.5";1;"220uF";;;
3;"C3, C9, C10, C11";"C_0805_2012Metric";4;"100nF";;;
4;"C4, C5";"C_0805_2012Metric";2;"1uF";;;
5;"C6, C7, C8";"C_0805_2012Metric";3;"0.1uF";;;
6;"D1";"D_SMC";1;"SS54";;;
7;"D2, D3";"D_SMA";2;"SS14";;;
8;"D4, D5, D6, D7, D8";"LED_0805_2012Metric";5;"LED";;;
9;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
10;"L1";"L_12x12mm_H8mm";1;"33uH";;;
11;"Q3, Q4";"SOT-23";2;"AO3400A";;;
12;"R1";"R_0508_1220Metric";1;"10k";;;
13;"R2, R3, R4";"R_0603_1608Metric";3;"10k";;;
14;"R5, R10, R13";"R_0805_2012Metric";3;"330";;;
15;"R6, R8, R14, R15";"R_0805_2012Metric";4;"100";;;
16;"R7, R9";"R_0805_2012Metric";2;"10k";;;
17;"R11";"R_0805_2012Metric";1;"1k";;;
18;"R12";"R_0805_2012Metric";1;"470";;;
19;"SW1, SW2";"SW_Push_1P1T_XKB_TS-1187A";2;"SW_Push";;;
20;"U1";"ESP32-WROOM-32D";1;"ESP32-WROOM-32E";;;
21;"U2";"TO-263-5_TabPin3";1;"LM2596S-5";;;
22;"U3";"SOT-23-5";1;"ME6211C33M5";;;
